,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
441,3.0,4.0,2018,994.7777777777778
442,3.0,4.0,2019,1118.9795918367347
443,3.0,4.0,2020,1071.8843537414966
444,3.0,4.0,2021,1043.099290780142
445,3.0,4.0,2022,1017.8360655737705
446,3.0,4.0,2023,1056.7083333333333
447,3.0,4.0,2000,973.0
448,3.0,4.0,2001,973.8241758241758
449,3.0,4.0,2002,1112.8936170212767
450,3.0,4.0,2003,991.7670641447369
451,3.0,4.0,2004,1007.9868978028624
452,3.0,4.0,2005,1018.4140587385652
453,3.0,4.0,2006,1015.1990009549695
454,3.0,4.0,2007,1028.4811613934353
455,3.0,4.0,2008,1007.892183088126
456,3.0,4.0,2009,1009.6420886777124
457,3.0,4.0,2010,1006.5328201307839
458,3.0,4.0,2011,1009.8392519833774
459,3.0,4.0,2012,1017.2041480276536
460,3.0,4.0,2013,1021.6848157709458
461,3.0,4.0,2014,1028.728170083523
462,3.0,4.0,2015,1030.979020979021
463,3.0,4.0,2016,1036.4261239368166
464,3.0,4.0,2017,1040.9900805951643
465,3.0,4.0,2018,1038.007345379756
466,3.0,4.0,2019,1038.1377276669557
467,3.0,4.0,2020,1033.0548319327731
468,3.0,4.0,2021,1039.3414193548388
469,3.0,4.0,2022,1037.0347666971638
470,3.0,4.0,2023,1048.2162849872773
471,3.0,5.0,2009,1013.1715445154944
472,3.0,5.0,2010,1076.8422005170928
473,3.0,5.0,2011,1055.0186041975924
474,3.0,5.0,2012,1038.5882727394066
475,3.0,5.0,2013,1018.8607332734931
476,3.0,5.0,2014,1017.0073073703811
477,3.0,5.0,2015,1002.444661649236
478,3.0,5.0,2016,1028.216752201736
479,3.0,5.0,2017,1048.669658267173
480,3.0,5.0,2018,1050.5066758975374
481,3.0,5.0,2019,1047.3590474251985
482,3.0,5.0,2020,1050.76051625239
483,3.0,5.0,2021,1057.6992161037454
484,3.0,5.0,2022,1057.8084075636818
485,3.0,5.0,2023,1059.3120452708165
486,3.0,6.0,2013,999.0
487,3.0,6.0,2014,1233.269922212619
488,3.0,6.0,2015,1088.2248937677055
489,3.0,6.0,2016,1053.1926469828477
490,3.0,6.0,2017,1054.0152709493414
491,3.0,6.0,2018,1052.7689799637328
492,3.0,6.0,2019,1070.9948359950272
493,3.0,6.0,2020,1108.693510446935
494,3.0,6.0,2021,1127.6933700511352
495,3.0,6.0,2022,1140.6671061850723
496,3.0,6.0,2023,1140.7315248335412
497,3.0,7.0,2015,1499.0
498,3.0,7.0,2016,1499.0
499,3.0,7.0,2017,1136.626213592233
500,3.0,7.0,2018,1312.9142857142858
501,3.0,7.0,2019,1356.461971830986
502,4.0,0.0,1950,570.0
503,4.0,0.0,1951,1084.7142857142858
504,4.0,0.0,1952,2122.4444444444443
505,4.0,0.0,1953,1424.3157894736842
506,4.0,0.0,1954,1470.7666666666667
507,4.0,0.0,1955,1265.3461538461538
508,4.0,0.0,1956,1717.225
509,4.0,0.0,1957,1567.2941176470588
510,4.0,0.0,1958,1253.8095238095239
511,4.0,0.0,1959,1733.5
512,4.0,0.0,1960,1490.448275862069
513,4.0,0.0,1961,1602.3636363636363
514,4.0,0.0,1962,1583.1136363636363
515,4.0,0.0,1963,1531.341463414634
516,4.0,0.0,1964,1538.327868852459
517,4.0,0.0,1965,1571.1898734177216
518,4.0,0.0,1966,1501.7173913043478
519,4.0,0.0,1967,1626.6979166666667
520,4.0,0.0,1968,1473.86
521,4.0,0.0,1969,1494.0424242424242
522,4.0,0.0,1970,1502.8198757763976
523,4.0,0.0,1971,1599.555
524,4.0,0.0,1972,1550.8347107438017
525,4.0,0.0,1973,1529.045112781955
526,4.0,0.0,1974,1642.3660714285713
527,4.0,0.0,1975,1786.0330188679245
528,4.0,0.0,1976,1773.6178343949045
529,4.0,0.0,1977,1856.6989795918366
530,4.0,0.0,1978,1905.3636363636363
531,4.0,0.0,1979,1865.889344262295
532,4.0,0.0,1980,1894.0740740740741
533,4.0,0.0,1981,1837.157894736842
534,4.0,0.0,1982,1821.3658536585365
535,4.0,0.0,1983,1610.1237677984666
536,4.0,0.0,1984,1581.7454100367197
537,4.0,0.0,1985,1575.6233450418806
538,4.0,0.0,1986,1584.785925378648
539,4.0,0.0,1987,1602.3986170809194
540,4.0,0.0,1988,1617.26425394258
541,4.0,0.0,1989,1632.264058234759
542,4.0,0.0,1990,1655.664858525143
543,4.0,0.0,1991,1655.735886844411
544,4.0,0.0,1992,1697.255311148712
545,4.0,0.0,1993,1858.1461538461538
546,4.0,0.0,1994,1820.6048537647791
547,4.0,0.0,1995,1820.4599322799097
548,4.0,0.0,1996,1816.102030192608
549,4.0,0.0,1997,1814.8328884143086
550,4.0,0.0,1998,1802.4126126126125
551,4.0,0.0,1999,1788.9356936416184
552,4.0,0.0,2000,1793.4290429042903
553,4.0,0.0,2001,1838.8082051282051
554,4.0,0.0,2002,1862.88322147651
555,4.0,0.0,2003,1913.251724137931
556,4.0,0.0,2004,1813.8979187314173
557,4.0,0.0,2005,1838.6506364922207
558,4.0,0.0,2006,1824.7060669456066
559,4.0,0.0,2007,1846.4239323843417
560,4.0,0.0,2008,1860.738301559792
561,4.0,0.0,2009,1919.5428039702233
562,4.0,0.0,2010,1958.3754972155928
563,4.0,0.0,2011,1941.8675966715614
564,4.0,0.0,2012,1930.3922818791946
565,4.0,0.0,2013,1867.994256999282
566,4.0,0.0,2014,1803.252245508982
567,4.0,0.0,2015,1791.5065597667638
568,4.0,0.0,2016,1756.4452449567723
569,4.0,0.0,2017,1782.529207232267
570,4.0,0.0,2018,1749.137106918239
571,4.0,0.0,2019,1778.8924669350201
572,4.0,0.0,2020,1759.9810426540284
573,4.0,0.0,2021,1807.2594458438286
574,4.0,0.0,2022,1761.1960104076322
575,4.0,0.0,2023,1763.406976744186
576,4.0,1.0,1990,1163.0
577,4.0,1.0,1991,998.0
578,4.0,1.0,1992,1685.745137880987
579,4.0,1.0,1993,1660.6331383519837
580,4.0,1.0,1994,1597.4976992261034
581,4.0,1.0,1995,1600.8356705013016
582,4.0,1.0,1996,1746.0863636363636
583,4.0,1.0,1997,1794.9476439790576
584,4.0,1.0,1998,1718.3880597014925
585,4.0,1.0,1999,1757.5307262569831
586,4.0,1.0,2000,1782.1305595408896
587,4.0,1.0,2001,1783.172
588,4.0,1.0,2002,1793.0650793650793
589,4.0,1.0,2003,1812.9551282051282
590,4.0,1.0,2004,1807.0663716814158
591,4.0,1.0,2005,1804.1271676300578
592,4.0,1.0,2006,1819.9228395061727
593,4.0,1.0,2007,1844.1737588652481
594,4.0,1.0,2008,1941.6939655172414
595,4.0,1.0,2009,2050.791044776119
596,4.0,1.0,2010,2073.71320754717
597,4.0,1.0,2011,2082.4333333333334
598,4.0,1.0,2012,2099.013043478261
599,4.0,1.0,2013,2040.1485714285714
600,4.0,1.0,2014,2230.456043956044
601,4.0,1.0,2015,2076.193370165746
602,4.0,1.0,2016,2071.3403141361255
603,4.0,1.0,2017,2025.9384615384615
604,4.0,1.0,2018,2067.3705583756346
605,4.0,1.0,2019,2025.9848484848485
606,4.0,1.0,2020,1959.8634146341462
607,4.0,1.0,2021,1898.551867219917
608,4.0,1.0,2022,1848.9922480620155
609,4.0,1.0,2023,1782.8367346938776
610,4.0,2.0,1993,1797.0
611,4.0,2.0,1994,1512.4285714285713
612,4.0,2.0,1995,1823.625
613,4.0,2.0,1996,1587.9663865546217
614,4.0,2.0,1997,1593.176652814507
615,4.0,2.0,1998,1531.0957100591716
616,4.0,2.0,1999,1499.8895544739798
617,4.0,2.0,2000,1511.8421160549517
618,4.0,2.0,2001,1612.6095505617977
619,4.0,2.0,2002,1774.8319218241043
620,4.0,2.0,2003,1754.1846846846847
621,4.0,2.0,2004,1738.9825620389001
622,4.0,2.0,2005,1775.019152640743
