,jaar,maand,merk,aantal,cum aantal,datum
335,1964,3,VOLVO,23,368,1964-03-01
336,1964,4,RENAULT,2,136,1964-04-01
337,1964,4,VOLKSWAGEN,21,727,1964-04-01
338,1964,4,VOLVO,18,386,1964-04-01
339,1964,5,BMW,3,58,1964-05-01
340,1964,5,RENAULT,3,139,1964-05-01
341,1964,5,VOLKSWAGEN,13,740,1964-05-01
342,1964,5,VOLVO,21,407,1964-05-01
343,1964,6,BMW,1,59,1964-06-01
344,1964,6,RENAULT,2,141,1964-06-01
345,1964,6,VOLKSWAGEN,19,759,1964-06-01
346,1964,6,VOLVO,25,432,1964-06-01
347,1964,7,VOLKSWAGEN,21,780,1964-07-01
348,1964,7,VOLVO,27,459,1964-07-01
349,1964,8,VOLKSWAGEN,9,789,1964-08-01
350,1964,8,VOLVO,15,474,1964-08-01
351,1964,9,BMW,1,60,1964-09-01
352,1964,9,RENAULT,3,144,1964-09-01
353,1964,9,VOLKSWAGEN,11,800,1964-09-01
354,1964,9,VOLVO,15,489,1964-09-01
355,1964,10,BMW,2,62,1964-10-01
356,1964,10,RENAULT,4,148,1964-10-01
357,1964,10,VOLKSWAGEN,13,813,1964-10-01
358,1964,10,VOLVO,13,502,1964-10-01
359,1964,11,BMW,1,63,1964-11-01
360,1964,11,RENAULT,1,149,1964-11-01
361,1964,11,VOLKSWAGEN,15,828,1964-11-01
362,1964,11,VOLVO,23,525,1964-11-01
363,1964,12,RENAULT,3,152,1964-12-01
364,1964,12,VOLKSWAGEN,12,840,1964-12-01
365,1964,12,VOLVO,14,539,1964-12-01
366,1965,1,BMW,4,67,1965-01-01
367,1965,1,TOYOTA,1,1,1965-01-01
368,1965,1,VOLKSWAGEN,13,853,1965-01-01
369,1965,1,VOLVO,26,565,1965-01-01
370,1965,2,BMW,1,68,1965-02-01
371,1965,2,RENAULT,2,154,1965-02-01
372,1965,2,TOYOTA,1,2,1965-02-01
373,1965,2,VOLKSWAGEN,21,874,1965-02-01
374,1965,2,VOLVO,20,585,1965-02-01
375,1965,3,BMW,1,69,1965-03-01
376,1965,3,RENAULT,2,156,1965-03-01
377,1965,3,TOYOTA,1,3,1965-03-01
378,1965,3,VOLKSWAGEN,34,908,1965-03-01
379,1965,3,VOLVO,44,629,1965-03-01
380,1965,4,BMW,4,73,1965-04-01
381,1965,4,RENAULT,3,159,1965-04-01
382,1965,4,TOYOTA,1,4,1965-04-01
383,1965,4,VOLKSWAGEN,31,939,1965-04-01
384,1965,4,VOLVO,29,658,1965-04-01
385,1965,5,BMW,1,74,1965-05-01
386,1965,5,RENAULT,4,163,1965-05-01
387,1965,5,TOYOTA,1,5,1965-05-01
388,1965,5,VOLKSWAGEN,21,960,1965-05-01
389,1965,5,VOLVO,29,687,1965-05-01
390,1965,6,BMW,1,75,1965-06-01
391,1965,6,RENAULT,5,168,1965-06-01
392,1965,6,TOYOTA,1,6,1965-06-01
393,1965,6,VOLKSWAGEN,16,976,1965-06-01
394,1965,6,VOLVO,37,724,1965-06-01
395,1965,7,BMW,3,78,1965-07-01
396,1965,7,RENAULT,3,171,1965-07-01
397,1965,7,TOYOTA,2,8,1965-07-01
398,1965,7,VOLKSWAGEN,24,1000,1965-07-01
399,1965,7,VOLVO,27,751,1965-07-01
400,1965,8,RENAULT,2,173,1965-08-01
401,1965,8,VOLKSWAGEN,18,1018,1965-08-01
402,1965,8,VOLVO,27,778,1965-08-01
403,1965,9,BMW,1,79,1965-09-01
404,1965,9,RENAULT,4,177,1965-09-01
405,1965,9,TOYOTA,1,9,1965-09-01
406,1965,9,VOLKSWAGEN,27,1045,1965-09-01
407,1965,9,VOLVO,18,796,1965-09-01
408,1965,10,BMW,1,80,1965-10-01
409,1965,10,RENAULT,7,184,1965-10-01
410,1965,10,TOYOTA,2,11,1965-10-01
411,1965,10,VOLKSWAGEN,28,1073,1965-10-01
412,1965,10,VOLVO,25,821,1965-10-01
413,1965,11,RENAULT,2,186,1965-11-01
414,1965,11,TOYOTA,2,13,1965-11-01
415,1965,11,VOLKSWAGEN,33,1106,1965-11-01
416,1965,11,VOLVO,42,863,1965-11-01
417,1965,12,BMW,1,81,1965-12-01
418,1965,12,RENAULT,13,199,1965-12-01
419,1965,12,TOYOTA,2,15,1965-12-01
420,1965,12,VOLKSWAGEN,53,1159,1965-12-01
421,1965,12,VOLVO,88,951,1965-12-01
422,1966,1,BMW,1,82,1966-01-01
423,1966,1,TOYOTA,1,16,1966-01-01
